epoch: 0, pqt: -0.0, train_loss : None, train_acc : None, val_loss : 0.535750699043, val_acc : 0.740625
epoch: 1, pqt: -0.0, train_loss : None, train_acc : None, val_loss : 0.516884148121, val_acc : 0.775
epoch: 2, pqt: -0.0261090169077, train_loss : None, train_acc : None, val_loss : 0.564583605528, val_acc : 0.690625
epoch: 3, pqt: -0.0, train_loss : None, train_acc : None, val_loss : 0.488774062693, val_acc : 0.759375
epoch: 4, pqt: 0.439603340989, train_loss : None, train_acc : None, val_loss : 0.705128490925, val_acc : 0.659375
epoch: 5, pqt: 0.0, train_loss : None, train_acc : None, val_loss : 0.463875721395, val_acc : 0.784375
epoch: 6, pqt: 0.339212908801, train_loss : None, train_acc : None, val_loss : 0.554498666525, val_acc : 0.74375
epoch: 7, pqt: 0.0, train_loss : None, train_acc : None, val_loss : 0.463139410856, val_acc : 0.782208588957
epoch: 8, pqt: 0.118473889476, train_loss : None, train_acc : None, val_loss : 0.48592428863, val_acc : 0.771875
epoch: 9, pqt: 0.277572651502, train_loss : None, train_acc : None, val_loss : 0.517912462354, val_acc : 0.725
epoch: 10, pqt: 0.0871063647311, train_loss : None, train_acc : None, val_loss : 0.48297790885, val_acc : 0.778125
epoch: 11, pqt: 0.725960143058, train_loss : None, train_acc : None, val_loss : 0.591888296604, val_acc : 0.73125
epoch: 12, pqt: 0.0, train_loss : None, train_acc : None, val_loss : 0.453476437926, val_acc : 0.7875
epoch: 13, pqt: 0.507677019863, train_loss : None, train_acc : None, val_loss : 0.52555398047, val_acc : 0.75
epoch: 14, pqt: 0.136558852929, train_loss : None, train_acc : None, val_loss : 0.473172521591, val_acc : 0.796875
epoch: 15, pqt: 0.318780275212, train_loss : None, train_acc : None, val_loss : 0.505285396166, val_acc : 0.800613497298
epoch: 16, pqt: 0.00897821917082, train_loss : None, train_acc : None, val_loss : 0.454538089037, val_acc : 0.803125
epoch: 17, pqt: 0.909945159195, train_loss : None, train_acc : None, val_loss : 0.581269749999, val_acc : 0.7625
epoch: 18, pqt: 0.586205018525, train_loss : None, train_acc : None, val_loss : 0.53998273015, val_acc : 0.7625
epoch: 19, pqt: 0.0, train_loss : None, train_acc : None, val_loss : 0.392948403955, val_acc : 0.8
epoch: 20, pqt: 0.564735526348, train_loss : None, train_acc : None, val_loss : 0.457263919711, val_acc : 0.8
epoch: 21, pqt: 0.041700317164, train_loss : None, train_acc : None, val_loss : 0.396641796827, val_acc : 0.8125
epoch: 22, pqt: 0.0, train_loss : None, train_acc : None, val_loss : 0.371545949578, val_acc : 0.81875
epoch: 23, pqt: 1.24516797116, train_loss : None, train_acc : None, val_loss : 0.512786667405, val_acc : 0.791411043676
